pod_name,timestamp,position_m,velocity,current,voltage,levitation_gap,temperature,battery
Pod-B,1771032555.590062,7627.132450647808,284.84203779470243,507.5484447419577,605.7830745371394,12.292530679023796,38.21294923127431,99.87999999999994
Pod-C,1771032555.590182,1009.0288081399085,247.55585518091067,508.65566578734234,597.9346869481762,12.099474166781706,38.011176272251454,99.87999999999994
Pod-A,1771032556.090827,9144.678542683587,300.23925807214323,506.3033067392083,606.0515819049136,12.024622462837646,41.11952200430663,99.86999999999993
Pod-B,1771032556.091269,7769.553469545159,284.08987720153755,493.25586736032744,599.1154481768589,12.141114310152759,38.3557564803896,99.86999999999993
Pod-C,1771032556.09139,1132.806735730364,247.3574685717755,511.03294503141177,596.4797009138077,11.654674262403955,40.41709993436229,99.86999999999993
Pod-A,1771032556.592144,9294.798171719658,302.02559141590945,493.60307199425284,609.6020447679888,11.61111327379103,38.09759442941133,99.85999999999993
Pod-B,1771032556.592544,7911.598408145927,285.0380514930219,480.5353894655828,608.2217163448092,12.188929810808823,41.40414588933317,99.85999999999993
Pod-C,1771032556.592662,1256.4854700162516,247.12785145443283,486.3503243685338,599.3832915777126,12.344875025001471,41.60772788519902,99.85999999999993
Pod-A,1771032557.093454,9445.810967427613,302.25183125753,495.8194993577504,592.8227677036906,11.966487729660212,40.87112198208636,99.84999999999992
Pod-B,1771032557.093855,8054.117433892438,283.64114896413025,480.98963170744577,599.7885321889356,11.969808303835018,38.30107566473156,99.84999999999992
Pod-C,1771032557.093987,1380.049395743468,248.1343731562268,513.9580513858278,597.7441465776203,11.681603909046043,41.845436658243635,99.84999999999992
Pod-A,1771032557.594808,9596.936883056378,300.25638546961386,508.47224469465976,591.4674011465223,12.40257405209166,38.41492476693493,99.83999999999992
Pod-B,1771032557.59518,8195.938008374504,285.6348300388891,510.3657376150968,594.586958089758,11.695160255705636,38.794216783359026,99.83999999999992
Pod-C,1771032557.59527,1504.1165823215815,248.03200668687768,489.70703391161567,593.4291785685762,12.263034737459668,39.5835199096091,99.83999999999992
Pod-A,1771032558.095994,9747.065075791184,301.78216707001735,486.1646143623209,594.7690980449077,12.250736879546599,40.62091027696805,99.82999999999991
Pod-B,1771032558.096753,8338.755423393948,285.5391589991373,504.90020653686685,601.2247673334789,12.47395930353498,41.0792947109778,99.82999999999991
Pod-C,1771032558.101294,1628.1325856650203,247.57700145729794,506.87665629787944,591.7521809689275,11.740624584995473,38.4481808907136,99.82999999999991
Pod-A,1771032558.602226,9897.956159326193,303.2832304624778,504.54657939020694,591.7734979049379,11.819687575399856,41.80528278281202,99.81999999999991
Pod-B,1771032558.602561,8481.525002893517,287.04577672639215,519.8422330801453,591.177971617092,11.915979107615703,39.59787884136908,99.81999999999991
Pod-C,1771032558.60266,1751.9210863936694,246.39597523922788,496.94914875953407,608.8711599710094,12.129631708380705,40.31145684151647,99.81999999999991
Pod-A,1771032559.103337,49.597774557432786,304.2130689662248,483.2684618453066,604.757926328744,12.423029177076002,41.564261826629945,99.8099999999999
Pod-B,1771032559.103676,8625.047891256712,285.38658282411967,489.8698170471226,593.0106152129148,11.673692486596869,38.01665160382531,99.8099999999999
Pod-C,1771032559.103773,1875.1190740132834,247.42167019230766,519.0751639428167,608.2971398539248,12.01408507368146,41.73702700335146,99.8099999999999
Pod-A,1771032559.604501,201.70430904054518,305.82081853725924,517.7653513207131,609.4941275335743,11.585357514828518,39.76309169931916,99.7999999999999
Pod-B,1771032559.604895,8767.741182668773,284.2859826254041,486.66262563634587,605.8065232591433,12.222742325277704,38.7845066920545,99.7999999999999
Pod-C,1771032559.605015,1998.8299091094373,246.62187679970393,509.457860996021,603.4200182103401,11.545630313706024,40.575416220015654,99.7999999999999
Pod-A,1771032560.105788,354.6147183091748,304.32791878196366,494.81495481019033,608.0836101721586,12.263612668341484,38.32338498578123,99.78999999999989
Pod-B,1771032560.106191,8909.884173981474,283.82967431612394,513.3440865854044,601.929246680783,12.485865917121224,41.575587947696214,99.78999999999989
Pod-C,1771032560.106301,2122.1408475092894,247.9542918159189,506.29076722714,608.4845147119968,11.80083152035256,38.51126351133648,99.78999999999989
Pod-A,1771032560.607023,506.77867770015666,305.9825574576921,510.6618994674407,608.3724389011977,12.425213623888316,39.93680063640569,99.77999999999989
Pod-B,1771032560.607462,9051.799011139536,281.8683130570446,511.48270697013595,608.901627012168,12.161248528305883,41.33194022327391,99.77999999999989
Pod-C,1771032560.607581,2246.1179934172487,247.95841061301107,496.3710329394687,608.0338694572417,11.976687677687842,39.56074017155602,99.77999999999989
Pod-A,1771032561.108182,659.7699564290027,305.22560869164477,484.8761148554028,608.6261843056686,11.814681250597923,41.25541094675281,99.76999999999988
Pod-B,1771032561.108301,9192.733167668059,282.74481420570004,488.86379816207847,603.0743532772221,11.702646330663875,38.85618040097039,99.76999999999988
Pod-C,1771032561.108326,2370.0971987237544,248.59640397842443,485.208354788339,605.7648581017473,12.001805433762508,41.323942336939936,99.76999999999988
Pod-A,1771032561.60878,812.3827607748251,306.0832571163267,486.1481088172201,593.4315772441124,12.03219029195752,41.70659143100864,99.75999999999988
Pod-B,1771032561.609231,9334.105574770909,284.25178218649495,501.98007371921267,605.5845184562965,11.611299783624524,40.945147752435425,99.75999999999988
Pod-C,1771032561.609357,2494.395400712967,250.0434904644796,513.5567209650593,603.4646048484277,11.87426931867951,38.58075776869457,99.75999999999988
Pod-A,1771032562.11008,965.4243893329884,305.27236587040875,505.39285222603,604.6364230034934,12.34677355565591,38.88434399431219,99.74999999999987
Pod-B,1771032562.110445,9476.231465864157,284.28596432412775,515.6724355621332,593.0447762962175,12.161260804732073,38.42494133594393,99.74999999999987
Pod-C,1771032562.110543,2619.417145945207,251.01037300783324,514.0908137269694,603.2126154022775,12.234910924159838,41.45627040089901,99.74999999999987
Pod-A,1771032562.611261,1118.0605722681928,307.1295910428653,505.9557379310993,603.4922136905363,12.378329459638032,39.856616811704676,99.73999999999987
Pod-B,1771032562.611652,9618.374448026221,285.82543731325984,499.7094108831598,595.2209019119201,12.288796400206218,39.66015133186708,99.73999999999987
Pod-C,1771032562.611758,2744.9223324491236,249.12552539121202,493.9751053173994,602.6963390535523,12.475494369085999,41.20185910736474,99.73999999999987
Pod-A,1771032563.112262,1271.6253677896254,306.14159753961314,498.27872810119453,592.5060415823027,11.814684667793042,39.55410144375797,99.72999999999986
Pod-B,1771032563.112361,9761.28716668285,284.9909862481793,498.21975482019667,602.2306576039556,12.469803445777925,40.03934472680597,99.72999999999986
Pod-C,1771032563.112383,2869.4850951447297,249.42267649219184,506.3549021738289,593.107907146042,12.393121463416831,40.700079028456386,99.72999999999986
Pod-A,1771032563.612816,1424.696166559432,305.88883404854414,485.6103443117729,598.8364537962542,11.528848981447062,41.71530170225051,99.71999999999986
Pod-B,1771032563.613221,9903.78265980694,283.0535805846692,480.73682372941755,590.876800066318,11.94857721677906,40.18326111567526,99.71999999999986
Pod-C,1771032563.613332,2994.1964333908254,249.79241363342024,485.1881769020694,607.0630770618175,12.224095045486909,38.27159227915878,99.71999999999986
Pod-A,1771032564.113891,1577.640583583704,305.20016900738125,496.74975083044075,594.9889190711466,12.417816249215942,41.08610740741747,99.70999999999985
Pod-B,1771032564.114338,45.30945009927564,283.08344639299844,490.648956855724,607.5073384452455,11.548849125214213,41.79091824279546,99.70999999999985
Pod-C,1771032564.114466,3119.0926402075356,249.1865286490367,508.59960160612343,606.1605499796067,12.470613594204547,41.73145753787034,99.70999999999985
Pod-A,1771032564.615169,1730.2406680873946,304.989467674925,506.5366076069572,606.0561511669473,11.974488347897987,38.27623132380369,99.69999999999985
Pod-B,1771032564.615523,186.85117329577486,282.92946999092885,486.0671541469,599.8329172211481,12.466939847425662,40.25078081365143,99.69999999999985
Pod-C,1771032564.615628,3243.685904532054,247.31198388964202,506.79606199536494,607.901496917937,11.739136554462883,38.28420638716022,99.69999999999985
Pod-A,1771032565.11627,1882.7354019248571,306.9367565437672,516.4447414108978,595.1587185189346,11.692184553090222,40.90116146159629,99.68999999999984
Pod-B,1771032565.116637,328.3159082912393,282.8948812508707,506.851263182189,604.4228492935006,12.011392215865015,41.52748747023029,99.68999999999984
Pod-C,1771032565.116744,3367.341896476875,246.8086406013525,481.64159935898766,596.2112213239594,11.858254279022928,38.639816550842276,99.68999999999984
Pod-A,1771032565.617447,2036.2037801967408,307.4594586141391,510.6143469889059,600.3848585325675,12.462622721678116,41.44436002171765,99.67999999999984
Pod-B,1771032565.617833,469.76334891667466,284.5229163964675,508.17845481641575,604.8242457435551,11.74414584140386,39.61402216109183,99.67999999999984
Pod-C,1771032565.617953,3490.746216777551,248.60745483155304,517.7954024681742,608.2401461688681,12.137446277110719,38.76838720332569,99.67999999999984
Pod-A,1771032566.118761,2189.9335095038105,307.38530374318486,499.1160623033903,602.268280545318,12.03899356937491,38.637566281006414,99.66999999999983
Pod-B,1771032566.119167,612.0248071149084,285.1508879523981,496.7727121345283,595.1600889225647,12.097189619749788,41.56508704191623,99.66999999999983
Pod-C,1771032566.119278,3615.0499441933275,246.93694295297365,518.7285811778123,608.1322457869154,12.399137113468301,39.626665601655276,99.66999999999983
Pod-A,1771032566.619989,2343.6261613754027,307.06679574934003,502.01057962391076,596.2944209348188,12.40439159316045,39.44876241814878,99.65999999999983
Pod-B,1771032566.620423,754.6002510911075,285.0911788688584,486.020288300492,599.202096737545,12.000352865143045,38.40420742630764,99.65999999999983
Pod-C,1771032566.620545,3738.518415669814,246.65802014510558,488.02216204034215,599.8916418624434,12.353564500788211,41.451798036092825,99.65999999999983
Pod-A,1771032567.121241,2497.1595592500726,307.07390216959726,506.3207746168404,592.3895209022093,11.789513256001722,38.82717463681401,99.64999999999982
Pod-B,1771032567.121685,897.1458405255366,284.19243196009364,518.8024961630506,604.6786982497878,12.105243325519673,38.62000187463853,99.64999999999982
Pod-C,1771032567.121863,3861.847425742367,245.61975040850933,480.7602235507681,599.8430488477459,11.761578499452948,38.87346447364878,99.64999999999982
Pod-A,1771032567.622754,2650.696510334871,305.08129666587985,499.95356451450357,597.5668009043285,11.540235760910988,39.2220133258804,99.63999999999982
Pod-B,1771032567.623215,1039.2420565055834,285.43440210971056,519.2889780352801,598.4651888720438,11.986921717380602,38.70213348812811,99.63999999999982
Pod-C,1771032567.623364,3984.6573009466215,246.21057288098336,488.86841373294874,604.9895067688617,12.498756419871814,38.856271661614265,99.63999999999982
Pod-A,1771032568.123941,2803.237158667811,306.00179004928515,515.1496087615614,595.7839350753569,12.003133458839105,41.96670325977436,99.62999999999981
Pod-B,1771032568.12417,1181.9592575604386,283.50198661974594,512.0618387472857,598.3686565083807,12.098720339707043,40.85189433662961,99.62999999999981
Pod-C,1771032568.124231,4107.762587387113,244.52987567481884,480.2795928993497,600.5526097842145,11.724226668198751,41.91986447661585,99.62999999999981
Pod-A,1771032568.624746,2956.2380536924534,304.91709717513004,517.1029734610873,604.0490734095489,12.488704787789722,39.67808043425645,99.6199999999998
Pod-B,1771032568.625103,1323.7102508703115,281.8197186904861,519.7445011733356,599.1681889511087,11.532078315851853,38.231515684474985,99.6199999999998
Pod-C,1771032568.625235,4230.027525224522,244.4630313557508,501.28357293803987,604.0212576314551,12.03227235854886,41.11153015282838,99.6199999999998
Pod-A,1771032569.125941,3108.6966022800184,303.8338880666801,515.121537917564,601.2930082466239,11.531438193997426,39.99786945181129,99.6099999999998
Pod-B,1771032569.126471,1464.6201102155546,280.38152222808804,490.1051434327411,602.9105304608173,11.52442914298836,38.10336973422824,99.6099999999998
Pod-C,1771032569.126625,4352.259040902397,242.86791849524582,484.12152825484054,593.8786549021088,11.502135192017159,39.01913086947502,99.6099999999998
Pod-A,1771032569.627536,3260.6135463133583,304.9910569982538,480.677753965488,606.9140857290915,12.399297120164707,41.60851375328146,99.5999999999998
Pod-B,1771032569.627842,1604.8108713295987,281.60026340560364,517.3423981461203,591.349283801848,12.180650554456095,40.00596481960349,99.5999999999998
Pod-C,1771032569.62793,4473.6930001500195,242.66547450558048,481.2134006790102,597.2246372412872,11.997921767372201,40.306515549490776,99.5999999999998
Pod-A,1771032570.128549,3413.1090748124852,304.93377988933946,517.0704595357736,606.1114650481517,12.468997122721921,41.13354760718714,99.58999999999979
Pod-B,1771032570.128799,1745.6110030324005,281.05915479675735,518.7324365438092,606.9484950952669,11.6322134633804,40.50437143483292,99.58999999999979
Pod-C,1771032570.128873,4595.02573740281,242.62202604007172,514.8881403820008,594.4366095886546,11.543053366501871,39.26539088974392,99.58999999999979
Pod-A,1771032570.62944,3565.575964757155,305.53101020963015,489.1063419388401,606.8516457730716,11.622700269052023,39.42608458782036,99.57999999999979
Pod-B,1771032570.629767,1886.1405804307792,282.6765219211841,498.6982618710046,594.9480268905643,12.47694607276436,40.19605625787167,99.57999999999979
Pod-C,1771032570.629901,4716.336750422845,243.93641994451133,517.565884857272,602.0817896325439,12.21361208459981,38.313221931076896,99.57999999999979
Pod-A,1771032571.130732,3718.34146986197,304.65015319267184,509.519255245989,597.8810765275957,11.758237131106291,38.43581535854531,99.56999999999978
Pod-B,1771032571.131208,2027.4788413913711,280.73509960904397,485.23021402511796,590.5719827261914,11.75409613922624,38.28406275431047,99.56999999999978
Pod-C,1771032571.131824,4838.304960395101,244.61668794252654,518.9344837476048,601.9251964406736,12.152630930805648,41.29728492664383,99.56999999999978
Pod-A,1771032571.632649,3870.6665464583057,305.2905101413018,480.5625226055355,609.4686581734144,11.787303990642322,41.24585243174616,99.55999999999977
Pod-B,1771032571.632989,2167.846391195893,282.2540208894752,491.45653103711015,604.8140503646035,11.658756408399551,40.39162052201856,99.55999999999977
Pod-C,1771032571.633088,4960.613304366365,242.66002709048203,497.84259826873046,605.4028312769669,12.391286059735014,39.97165540848455,99.55999999999977
Pod-A,1771032572.13383,4023.3118015289565,307.0438353211882,481.28083273072684,595.7172436331634,12.467162534958579,40.23198970093531,99.54999999999977
Pod-B,1771032572.134231,2308.9734016406305,282.20269955235926,499.49430289392586,605.1028483672391,11.781408968550522,39.64085642856356,99.54999999999977
Pod-C,1771032572.134356,5081.943317911606,243.94604967658847,516.9930888304813,603.0773148212742,12.227537397705472,39.98895580706109,99.54999999999977
Pod-A,1771032572.635036,4176.833719189551,307.96723876739173,505.1462763153193,597.7876142129801,12.119047732207092,40.27363153544202,99.53999999999976
Pod-B,1771032572.635719,2450.07475141681,283.04215181006714,511.21886792349204,594.7102508514375,12.125022983546309,40.887092270173724,99.53999999999976
Pod-C,1771032572.635918,5203.9163427499,243.20914323024988,514.738133454078,592.3936847589739,12.438728701984928,39.00248029030889,99.53999999999976
Pod-A,1771032573.137006,4330.817338573246,309.91844789595194,489.45224312381566,600.9924330838973,11.740651469174392,40.778002980786226,99.52999999999976
Pod-B,1771032573.137395,2591.595827321844,284.9358363131288,491.53199802314725,605.427984871876,11.707563843998408,41.28659325309669,99.52999999999976
Pod-C,1771032573.137483,5325.5209143650245,243.1262003003388,513.4733163562934,594.368546792345,11.8734437453403,39.39602510922733,99.52999999999976
Pod-A,1771032573.638095,4485.776562521222,309.0056559644959,489.09675073662504,603.4406373950633,12.301674672671963,41.63885074397824,99.51999999999975
Pod-B,1771032573.63844,2734.0637454784082,283.54108277343124,484.5318878907553,605.1660504603811,12.361365500378188,40.71695730146795,99.51999999999975
Pod-C,1771032573.638527,5447.084014515194,241.91618858189685,516.3678613473003,594.6830500524633,11.695177268722096,41.71745713374444,99.51999999999975
Pod-A,1771032574.139258,4640.2793905034705,307.30097164681035,493.54634346209735,606.7237478131398,12.084444027287775,39.6256103104241,99.50999999999975
Pod-B,1771032574.13977,2875.834286865124,284.8126146920328,499.10793435575476,607.7083613703129,12.423641483473704,39.406221144313804,99.50999999999975
Pod-C,1771032574.139924,5568.042108806143,241.19777525143493,480.98840227351803,598.6225605068544,12.168627562373937,41.8008017943596,99.50999999999975
Pod-A,1771032574.640826,4793.929876326875,307.3229129426729,507.11363324127177,592.4663691398925,12.326268193594577,40.13971927700819,99.49999999999974
Pod-B,1771032574.64108,3018.2405942111404,284.1358191547908,488.6740271309319,595.6380969730402,11.893391586327255,41.0022830091115,99.49999999999974
Pod-C,1771032574.641176,5688.640996431861,240.17841670291207,483.38396703230563,608.3792910550458,12.139372688273879,38.03512123820041,99.49999999999974
Pod-A,1771032575.141616,4947.591332798212,309.02241191450764,486.77071775477805,603.6778609270127,12.066527456471631,40.485355391137325,99.48999999999974
Pod-B,1771032575.141928,3160.3085037885357,282.85569177357297,505.9842024499583,605.2897093542092,12.253813648351299,38.458605840181605,99.48999999999974
Pod-C,1771032575.142017,5808.730204783317,238.6839906390865,516.531931736822,600.8715644562914,11.87407069268259,40.02448536845292,99.48999999999974
Pod-A,1771032575.642676,5102.1025387554655,307.2430958160736,500.1694936442729,594.8180054965198,11.569415862879353,38.99551620496068,99.47999999999973
Pod-B,1771032575.643009,3301.7363496753223,282.7373044718769,503.7411585565357,606.6761529856616,12.206374428903073,40.486002487593055,99.47999999999973
Pod-C,1771032575.643154,5928.072200102861,240.66666790496285,500.819291396036,596.9862130403927,12.258641676406695,39.72245005111078,99.47999999999973
Pod-A,1771032576.143851,5255.724086663502,308.95011874917975,498.26114094724574,609.7644157484376,12.122413602375515,40.44326433184982,99.46999999999973
Pod-B,1771032576.144184,3443.105001911261,283.94886136105526,491.7906573311414,599.909560257768,11.868223523539287,40.025758663756335,99.46999999999973
Pod-C,1771032576.144276,6048.405534055342,241.60340678855422,512.1987913744172,602.8894633362332,12.456739428517036,39.62127171393473,99.46999999999973
Pod-A,1771032576.644896,5410.199146038092,310.67536397075526,515.0264633421617,603.4090136456065,12.335096013443385,41.04635456366979,99.45999999999972
Pod-B,1771032576.645234,3585.0794325917886,284.173421428067,493.1844015673063,603.056025906702,11.851965003095579,39.49046616056859,99.45999999999972
Pod-C,1771032576.645346,6169.207237449619,242.39533474205805,514.6526285233333,590.2815172413636,11.655641308494616,40.30504752255764,99.45999999999972
Pod-A,1771032577.146065,5565.53682802347,311.02268335117117,506.52177747775073,591.5135454724816,11.798214665740147,41.34106856060325,99.44999999999972
Pod-B,1771032577.14647,3727.166143305822,285.089924306137,487.1453217996969,600.5498186688587,12.374543107824167,39.42501939836033,99.44999999999972
Pod-C,1771032577.146576,6290.404904820648,240.5037374891596,498.84352795498376,590.7979157340862,12.03488694364779,39.84066465163312,99.44999999999972
Pod-A,1771032577.647316,5721.0481696990555,310.70843735123077,495.828972014571,593.5124048231585,12.070416922190985,38.50167739086629,99.43999999999971
Pod-B,1771032577.647689,3869.7111054588904,286.41802945354755,512.3487555200717,593.6242379581576,11.623514483802374,40.67205168984541,99.43999999999971
Pod-C,1771032577.647798,6410.656773565228,240.06253196549346,511.2940784771657,609.068240743163,11.974557628704549,38.69344538149062,99.43999999999971
Pod-A,1771032578.148543,5876.402388374671,311.95420539985724,488.52537915359073,597.4417360293464,11.934272391687138,41.751365172881506,99.42999999999971
Pod-B,1771032578.1489,4012.920120185664,287.31397472535554,513.4572773204081,598.3640717017455,11.587151008133064,41.73115358804402,99.42999999999971
Pod-C,1771032578.148998,6530.688039547975,239.0342316539299,507.6424602562851,608.0654929340117,11.593106727840361,41.59676039741099,99.42999999999971
Pod-A,1771032578.649582,6032.3794910746,311.85905487596494,505.29078372013845,603.8767753902526,11.624806230584515,39.12037571640655,99.4199999999997
Pod-B,1771032578.649692,4156.577107548342,286.2201478152899,500.03311496541266,594.842204621623,11.940471145227857,40.771541481812555,99.4199999999997
Pod-C,1771032578.649742,6650.20515537494,238.22064345333433,507.0650646968342,606.8897845978258,12.40391887778066,39.821764955301845,99.4199999999997
Pod-A,1771032579.150033,6188.309018512583,312.3125468276963,495.77942607320614,606.3985721300014,12.035001564629074,39.519479948179224,99.4099999999997
Pod-B,1771032579.150207,4299.687181455986,285.535632316708,494.1877982052376,609.9428983755269,12.19802532206455,38.76020902612081,99.4099999999997
Pod-C,1771032579.150264,6769.315477101607,238.24711115409556,518.2306015062876,592.1600940373578,11.960159922837683,38.82575749796893,99.4099999999997
Pod-A,1771032579.650792,6344.465291926431,312.5227193832903,494.62676329660786,596.282624057836,12.090655370294195,39.308781224770506,99.3999999999997
Pod-B,1771032579.651555,4442.454997614341,284.09890175583143,505.3225938716831,595.8953378582938,11.746965982419093,41.13487299550391,99.3999999999997
Pod-C,1771032579.651999,6888.439032678655,239.64737813951615,499.4278822625707,608.7016420257037,11.671023739575432,40.236529638614364,99.3999999999997
Pod-A,1771032580.152836,6500.726651618076,312.77825298029467,513.3280669148628,599.1230293254154,11.941028020717985,38.97533241821558,99.38999999999969
Pod-B,1771032580.153317,4584.504448492256,284.1279208280958,497.5426076111383,590.2763096345011,11.86981207023305,38.60381800668222,99.38999999999969
Pod-C,1771032580.153439,7008.262721748413,239.63826596040832,513.6123522601576,609.5656457577605,12.329471890850943,41.723926933679,99.38999999999969
Pod-A,1771032580.654031,6657.115778108224,314.67163364912636,519.0846035350808,590.5282399981676,11.814641545766037,38.78903560043307,99.37999999999968
Pod-B,1771032580.65448,4726.568408906304,284.170067486043,483.11120688419084,594.7108180783313,11.760773735201617,39.477306768331324,99.37999999999968
Pod-C,1771032580.654616,7128.081854728617,238.19281431047642,498.10546544592694,601.251340537288,12.430565909608358,38.20226707994871,99.37999999999968
Pod-A,1771032581.155352,6814.451594932787,312.9210804421132,494.90316560245145,597.6372857370058,12.295803053339792,40.724038817591115,99.36999999999968
Pod-B,1771032581.155659,4868.653442649325,285.7198792479318,484.3377800230973,609.8825855252284,12.091851777951437,38.188552355292884,99.36999999999968
Pod-C,1771032581.15577,7247.178261883855,238.9749697396207,510.09782397338813,604.50355022573,11.725116385987432,39.96609198099611,99.36999999999968
Pod-A,1771032581.656335,6970.912135153843,313.41050065360554,497.73686435940147,605.0732244632685,12.168096968138268,39.8902967937145,99.35999999999967
Pod-B,1771032581.65663,5011.513382273291,284.0347589746696,500.0437025429683,601.2028611823819,12.08968028293123,40.64557578406272,99.35999999999967
Pod-C,1771032581.656715,7366.665746753665,240.40147164752645,509.002759356822,591.8685612481636,11.856889559811567,41.63283396326989,99.35999999999967
Pod-A,1771032582.157369,7127.617385480646,313.56847320525895,518.3570489548398,608.7309562232401,12.163940968350557,38.38331695949617,99.34999999999967
Pod-B,1771032582.157788,5153.530761760626,283.16151107670197,519.4062753381395,596.2478418789644,12.068684064247103,41.66947974222763,99.34999999999967
Pod-C,1771032582.157913,7486.8664825774285,239.55359909960507,499.93326599573146,595.7293330547906,12.499552579839719,38.39940780282865,99.34999999999967
Pod-A,1771032582.658772,7284.4016220832755,312.4549043518797,488.72904217241,591.2703557231467,11.783652867592554,41.695099054685286,99.33999999999966
Pod-B,1771032582.659302,5295.111517298977,282.1542755382412,499.9799761180412,600.3318159826404,11.771499391508266,40.45647849153422,99.33999999999966
Pod-C,1771032582.659437,7606.643282127231,238.52924597021675,484.7797067102079,590.4538810536129,12.399698372442906,40.61579942919149,99.33999999999966
Pod-A,1771032583.160218,7440.6290742592155,310.48249462642355,483.10676067075804,593.9496508769333,11.799099380609997,40.99885915594738,99.32999999999966
